houseid,homeown,hhvehcnt,hhsize,drvrcnt,wrkcount,numadlt,trpmiles,hhincttl,hhldtrips,incBin,sizeBin,vehBin,wrkBin,vehRatio,driverRatio,distanceRatio,sizeRatio,adultRatio
10836552,1,2,2,2,0,2,502,7,14,2,2,2,0,1,1,251,251,1
10838275,1,2,4,2,1,2,1052,14,5,3,4,2,1,1,1,526,263,0.5
10839290,1,3,3,2,2,2,64,17,9,4,3,3,NA,1.5,0.6666666666666666,32,21.333333333333332,0.6666666666666666
10852851,1,2,4,3,1,2,124,18,16,4,4,2,1,0.6666666666666666,1.5,41.333333333333336,31,0.5
10856457,1,3,2,2,2,2,173,13,7,3,2,3,NA,1.5,0.6666666666666666,86.5,86.5,1
10867695,1,4,3,3,1,2,23,6,7,1,3,4,1,1.3333333333333333,0.75,7.666666666666667,7.666666666666667,0.6666666666666666
10876848,0,1,1,1,0,1,17,2,3,1,1,1,0,1,1,17,17,1
10877827,0,1,1,1,1,1,30,10,7,2,1,1,1,1,1,30,30,1
10891953,1,1,3,1,1,1,46.33310000000001,4,14,1,3,1,1,1,1,46.33310000000001,15.444366666666669,0.3333333333333333
10892615,1,3,3,3,2,2,32,16,10,3,3,3,NA,1,1,10.666666666666666,10.666666666666666,0.6666666666666666
10892941,1,2,2,2,2,2,187,11,8,2,2,2,NA,1,1,93.5,93.5,1
10894310,1,2,2,2,1,2,224,15,8,3,2,2,1,1,1,112,112,1
10931756,1,2,2,2,1,2,95,18,11,4,2,2,1,1,1,47.5,47.5,1
10933899,1,2,4,2,2,2,133,15,7,3,4,2,NA,1,1,66.5,33.25,0.5
10952809,1,4,1,1,1,1,3164,18,6,4,1,4,1,4,0.25,3164,3164,1
10958089,1,2,2,2,1,2,56.2222,10,11,2,2,2,1,1,1,28.1111,28.1111,1
10961614,1,3,2,2,1,2,18.5,12,5,3,2,3,1,1.5,0.6666666666666666,9.25,9.25,1
10967625,1,2,2,2,2,1,25.5,18,13,4,2,2,NA,1,1,12.75,12.75,0.5
10968088,0,1,3,2,2,2,15.5556,10,2,2,3,1,NA,0.5,2,7.7778,5.1852,0.6666666666666666
10971921,1,2,4,2,2,2,556,14,16,3,4,2,NA,1,1,278,139,0.5
10972517,0,1,4,2,2,2,18,16,3,3,4,1,NA,0.5,2,9,4.5,0.5
10976850,1,2,2,2,2,2,53,NA,9,NA,2,2,NA,1,1,26.5,26.5,1
10978322,1,4,6,4,4,3,74.5,12,14,3,4,4,2,1,1,18.625,12.416666666666666,0.5
10978779,0,2,2,2,2,2,14,16,3,3,2,2,NA,1,1,7,7,1
10984668,0,2,4,3,0,3,215,10,22,2,4,2,0,0.6666666666666666,1.5,71.66666666666667,53.75,0.75
10985900,1,4,4,2,2,2,54.999900000000004,17,13,4,4,4,NA,2,0.5,27.499950000000002,13.749975000000001,0.5
11007135,1,2,3,2,2,2,8,18,10,4,3,2,NA,1,1,4,2.6666666666666665,0.6666666666666666
11007993,1,2,2,2,2,2,135.33329999999998,12,17,3,2,2,NA,1,1,67.66664999999999,67.66664999999999,1
11011543,1,1,1,1,0,1,49,10,11,2,1,1,0,1,1,49,49,1
11021757,1,2,2,2,0,2,79.2222,NA,10,NA,2,2,0,1,1,39.6111,39.6111,1
11022277,1,2,6,2,2,2,441.2222,16,25,3,4,2,NA,1,1,220.6111,73.53703333333333,0.3333333333333333
11025885,1,1,1,1,0,1,108.1111,3,16,1,1,1,0,1,1,108.1111,108.1111,1
11039127,1,2,2,2,1,2,47.111000000000004,10,18,2,2,2,1,1,1,23.555500000000002,23.555500000000002,1
11799065,1,1,3,1,1,1,24.888800000000003,17,12,4,3,1,1,1,1,24.888800000000003,8.296266666666668,0.3333333333333333
11806468,1,2,2,2,2,2,84,10,8,2,2,2,NA,1,1,42,42,1
11822570,0,1,1,1,0,1,42,3,6,1,1,1,0,1,1,42,42,1
11826961,1,7,5,4,2,4,22,NA,6,NA,4,4,NA,1.75,0.5714285714285714,5.5,4.4,0.8
11854704,1,3,2,2,1,2,39,18,3,4,2,3,1,1.5,0.6666666666666666,19.5,19.5,1
11856258,0,1,3,1,1,1,50,18,5,4,3,1,1,1,1,50,16.666666666666668,0.3333333333333333
11859277,1,2,2,2,2,2,490,18,13,4,2,2,NA,1,1,245,245,1
11867290,1,2,2,2,1,1,62,13,8,3,2,2,1,1,1,31,31,0.5
11916992,1,1,2,2,2,2,105,17,11,4,2,1,NA,0.5,2,52.5,52.5,1
11920403,0,0,1,1,1,1,47,NA,3,NA,1,0,1,0,Inf,47,47,1
11947174,1,1,1,1,0,1,8.333400000000001,3,6,1,1,1,0,1,1,8.333400000000001,8.333400000000001,1
11951920,1,4,5,5,5,3,267,13,14,3,4,4,2,0.8,1.25,53.4,53.4,0.6
11957388,0,2,2,2,2,2,46,13,2,3,2,2,NA,1,1,23,23,1
11963071,1,1,2,2,0,2,10.5,12,5,3,2,1,0,0.5,2,5.25,5.25,1
11968900,1,2,4,2,1,2,208.4444,12,24,3,4,2,1,1,1,104.2222,52.1111,0.5
11971384,1,1,1,1,1,1,6,5,2,1,1,1,1,1,1,6,6,1
11971861,0,2,5,2,2,2,411.33330000000007,14,13,3,4,2,NA,1,1,205.66665000000003,82.26666000000002,0.4
11997834,0,0,3,1,1,1,92,6,6,1,3,0,1,0,Inf,92,30.666666666666668,0.3333333333333333
12045826,1,2,1,1,0,1,24,8,6,2,1,2,0,2,0.5,24,24,1
12055012,1,6,5,4,4,4,228,18,24,4,4,4,2,1.5,0.6666666666666666,57,45.6,0.8
12093461,1,2,2,2,2,2,320,10,8,2,2,2,NA,1,1,160,160,1
12098662,1,1,1,1,0,1,16.666600000000003,4,6,1,1,1,0,1,1,16.666600000000003,16.666600000000003,1
12099155,1,2,1,1,0,1,62,9,2,2,1,2,0,2,0.5,62,62,1
12108570,0,0,1,0,0,1,1,5,2,1,1,0,0,NA,NA,Inf,1,1
12124534,1,2,2,2,2,2,36,14,10,3,2,2,NA,1,1,18,18,1
12135044,1,3,3,2,1,2,117,18,21,4,3,3,1,1.5,0.6666666666666666,58.5,39,0.6666666666666666
12138803,1,1,1,1,1,1,30,18,2,4,1,1,1,1,1,30,30,1
12144523,1,2,2,2,2,2,16,18,7,4,2,2,NA,1,1,8,8,1
12157804,1,2,2,2,0,2,122,6,8,1,2,2,0,1,1,61,61,1
12157831,1,1,1,1,1,1,26,6,11,1,1,1,1,1,1,26,26,1
12171958,1,1,2,1,1,2,72,5,10,1,2,1,1,1,1,72,36,1
12190388,0,2,3,2,1,2,29,10,5,2,3,2,1,1,1,14.5,9.666666666666666,0.6666666666666666
12192364,1,2,2,2,0,2,120,NA,14,NA,2,2,0,1,1,60,60,1
12218219,0,1,2,2,2,2,87,7,15,2,2,1,NA,0.5,2,43.5,43.5,1
12225262,1,6,4,3,3,3,52,15,2,3,4,4,2,2,0.5,17.333333333333332,13,0.75
12225655,1,1,2,1,0,2,1,NA,1,NA,2,1,0,1,1,1,0.5,1
12228124,0,2,2,2,0,2,6.2222,14,6,3,2,2,0,1,1,3.1111,3.1111,1
12245194,1,1,2,2,0,2,112,4,12,1,2,1,0,0.5,2,56,56,1
12248364,1,2,2,2,2,2,37.1111,16,14,3,2,2,NA,1,1,18.55555,18.55555,1
12251869,1,3,1,1,0,1,0.3333,5,1,1,1,3,0,3,0.3333333333333333,0.3333,0.3333,1
12256006,1,2,5,3,1,3,250,6,10,1,4,2,1,0.6666666666666666,1.5,83.33333333333333,50,0.6
12256435,1,2,2,2,1,2,27,18,13,4,2,2,1,1,1,13.5,13.5,1
12276219,1,3,6,3,3,2,91.1111,15,19,3,4,3,2,1,1,30.370366666666666,15.185183333333333,0.3333333333333333
12287701,1,3,2,2,2,2,233.5,18,9,4,2,3,NA,1.5,0.6666666666666666,116.75,116.75,1
12288847,1,1,1,1,1,1,21.5,7,6,2,1,1,1,1,1,21.5,21.5,1
12313963,1,3,4,2,2,2,118,14,16,3,4,3,NA,1.5,0.6666666666666666,59,29.5,0.5
12317617,1,2,3,2,2,3,26,7,6,2,3,2,NA,1,1,13,8.666666666666666,1
12326459,1,3,2,2,2,2,124.4444,14,10,3,2,3,NA,1.5,0.6666666666666666,62.2222,62.2222,1
12333448,1,2,3,2,2,2,48,5,8,1,3,2,NA,1,1,24,16,0.6666666666666666
12348611,1,2,3,2,2,2,108.44419999999998,12,17,3,3,2,NA,1,1,54.22209999999999,36.14806666666666,0.6666666666666666
13121183,1,2,2,2,2,2,16,18,12,4,2,2,NA,1,1,8,8,1
13127738,0,0,1,0,0,1,0.8888,NA,2,NA,1,0,0,NA,NA,Inf,0.8888,1
13128892,1,2,2,2,1,2,2,5,2,1,2,2,1,1,1,1,1,1
13131632,0,2,6,4,3,4,22,9,2,2,4,2,2,0.5,2,5.5,3.6666666666666665,0.6666666666666666
13134398,0,1,4,1,1,1,59.1112,12,19,3,4,1,1,1,1,59.1112,14.7778,0.25
13140166,1,2,2,2,1,2,28,8,4,2,2,2,1,1,1,14,14,1
13154211,0,1,4,1,1,2,4.9998000000000005,2,9,1,4,1,1,1,1,4.9998000000000005,1.2499500000000001,0.5
13159823,1,1,2,1,0,2,9,16,7,3,2,1,0,1,1,9,4.5,1
13167015,1,5,2,2,2,2,100,18,8,4,2,4,NA,2.5,0.4,50,50,1
13174835,0,3,6,2,1,2,240.5,12,49,3,4,3,1,1.5,0.6666666666666666,120.25,40.083333333333336,0.3333333333333333
13175805,1,2,4,2,2,2,41,6,12,1,4,2,NA,1,1,20.5,10.25,0.5
13191038,1,2,5,2,2,3,105,3,15,1,4,2,NA,1,1,52.5,21,0.6
13198103,1,2,1,1,0,1,56,3,3,1,1,2,0,2,0.5,56,56,1
13200471,1,3,4,2,2,2,380.7222,18,29,4,4,3,NA,1.5,0.6666666666666666,190.3611,95.18055,0.5
13212719,1,2,2,2,2,2,101,12,11,3,2,2,NA,1,1,50.5,50.5,1
13213958,0,2,1,1,0,1,1,2,2,1,1,2,0,2,0.5,1,1,1
13217200,1,2,5,2,2,2,20,12,24,3,4,2,NA,1,1,10,4,0.4
13233134,1,1,1,1,0,1,1.8888,NA,4,NA,1,1,0,1,1,1.8888,1.8888,1
13238951,1,4,4,4,3,3,210,18,17,4,4,4,2,1,1,52.5,52.5,0.75
13244868,1,4,2,2,0,2,23.5,NA,6,NA,2,4,0,2,0.5,11.75,11.75,1
13250319,0,1,1,1,1,1,152.16660000000002,2,7,1,1,1,1,1,1,152.16660000000002,152.16660000000002,1
13256834,1,3,5,2,1,2,132,1,20,1,4,3,1,1.5,0.6666666666666666,66,26.4,0.4
13268275,1,2,2,2,0,2,21,NA,10,NA,2,2,0,1,1,10.5,10.5,1
13268921,1,3,2,2,2,2,2323,18,16,4,2,3,NA,1.5,0.6666666666666666,1161.5,1161.5,1
13273055,1,1,4,2,1,2,394,6,29,1,4,1,1,0.5,2,197,98.5,0.5
13275134,1,2,4,2,2,2,97.5,18,17,4,4,2,NA,1,1,48.75,24.375,0.5
13275956,1,0,1,0,0,1,1,3,2,1,1,0,0,NA,NA,Inf,1,1
13285124,1,2,2,2,0,2,131,12,10,3,2,2,0,1,1,65.5,65.5,1
13295824,1,2,3,2,2,2,100,13,8,3,3,2,NA,1,1,50,33.333333333333336,0.6666666666666666
13299699,1,3,3,3,3,3,97,NA,15,NA,3,3,2,1,1,32.333333333333336,32.333333333333336,1
13302713,1,2,2,2,1,2,4,17,2,4,2,2,1,1,1,2,2,1
13307099,1,1,1,1,1,1,5.1112,6,4,1,1,1,1,1,1,5.1112,5.1112,1
13319618,1,2,8,2,4,4,82,8,9,2,4,2,2,1,1,41,10.25,0.5
13320128,1,2,3,2,2,2,40,18,15,4,3,2,NA,1,1,20,13.333333333333334,0.6666666666666666
13320678,1,3,3,3,3,3,215.5,12,20,3,3,3,2,1,1,71.83333333333333,71.83333333333333,1
13339504,1,1,2,1,1,2,16,6,4,1,2,1,1,1,1,16,8,1
13339698,0,1,6,2,1,2,48,6,24,1,4,1,1,0.5,2,24,8,0.3333333333333333
13341280,1,2,4,2,1,2,346.2221,6,22,1,4,2,1,1,1,173.11105,86.555525,0.5
13351298,1,2,3,3,0,3,320,14,14,3,3,2,0,0.6666666666666666,1.5,106.66666666666667,106.66666666666667,1
13358756,1,1,1,1,1,1,94,8,4,2,1,1,1,1,1,94,94,1
13374877,1,1,2,2,0,2,3,8,3,2,2,1,0,0.5,2,1.5,1.5,1
13384148,1,3,2,2,1,2,115,9,9,2,2,3,1,1.5,0.6666666666666666,57.5,57.5,1
13400972,1,1,2,2,0,2,12,6,4,1,2,1,0,0.5,2,6,6,1
13415912,0,1,2,1,1,2,4,6,6,1,2,1,1,1,1,4,2,1
13421137,1,1,2,2,0,2,4.3333,2,5,1,2,1,0,0.5,2,2.16665,2.16665,1
13440156,1,3,3,3,2,3,39,15,9,3,3,3,NA,1,1,13,13,1
13454818,0,1,2,2,2,2,48.2222,8,8,2,2,1,NA,0.5,2,24.1111,24.1111,1
13466996,1,0,3,1,1,2,158,6,5,1,3,0,1,0,Inf,158,52.666666666666664,0.6666666666666666
13469139,1,4,3,3,3,3,338,18,15,4,3,4,2,1.3333333333333333,0.75,112.66666666666667,112.66666666666667,1
13470603,1,3,5,4,3,2,66,13,14,3,4,3,2,0.75,1.3333333333333333,16.5,13.2,0.4
13474535,0,1,1,1,1,1,20,8,2,2,1,1,1,1,1,20,20,1
13479727,1,2,2,2,0,2,2,8,2,2,2,2,0,1,1,1,1,1
13484860,0,2,4,3,1,2,21.777600000000003,10,16,2,4,2,1,0.6666666666666666,1.5,7.259200000000001,5.444400000000001,0.5
13491505,1,2,4,2,1,2,120.5,14,22,3,4,2,1,1,1,60.25,30.125,0.5
13500461,1,2,3,3,2,3,212,18,18,4,3,2,NA,0.6666666666666666,1.5,70.66666666666667,70.66666666666667,1
13506043,1,1,2,2,0,2,56.4444,7,14,2,2,1,0,0.5,2,28.2222,28.2222,1
13523778,1,2,3,3,2,2,26.5,8,8,2,3,2,NA,0.6666666666666666,1.5,8.833333333333334,8.833333333333334,0.6666666666666666
13529127,1,2,6,2,1,2,382,12,41,3,4,2,1,1,1,191,63.666666666666664,0.3333333333333333
13530637,1,1,2,1,1,2,2,NA,2,NA,2,1,1,1,1,2,1,1
13539313,1,1,1,1,0,1,18,10,4,2,1,1,0,1,1,18,18,1
13543888,1,2,1,1,0,1,28,10,5,2,1,2,0,2,0.5,28,28,1
13546768,1,3,9,4,4,4,715,8,41,2,4,3,2,0.75,1.3333333333333333,178.75,79.44444444444444,0.4444444444444444
13553225,0,0,3,2,1,2,34.5,10,12,2,3,0,1,0,Inf,17.25,11.5,0.6666666666666666
13554428,1,0,1,0,0,1,0.6666,4,6,1,1,0,0,NA,NA,Inf,0.6666,1
13562030,1,2,5,2,2,2,45,16,17,3,4,2,NA,1,1,22.5,9,0.4
13568041,1,1,1,1,0,1,22.5,5,4,1,1,1,0,1,1,22.5,22.5,1
13573942,1,3,6,3,1,2,NA,18,18,4,4,3,1,1,1,NA,NA,0.3333333333333333
13578406,1,3,4,3,2,2,33.5,17,24,4,4,3,NA,1,1,11.166666666666666,8.375,0.5
14076851,1,2,4,2,2,2,201,8,18,2,4,2,NA,1,1,100.5,50.25,0.5
14079768,1,2,2,2,1,2,600,12,2,3,2,2,1,1,1,300,300,1
14146400,0,1,4,2,1,2,57,6,4,1,4,1,1,0.5,2,28.5,14.25,0.5
14157394,0,2,2,2,2,2,59,4,7,1,2,2,NA,1,1,29.5,29.5,1
14191996,1,2,3,3,3,2,14,18,4,4,3,2,2,0.6666666666666666,1.5,4.666666666666667,4.666666666666667,0.6666666666666666
14250615,1,1,2,2,0,2,147,11,8,2,2,1,0,0.5,2,73.5,73.5,1
14299605,1,2,2,2,1,2,44,10,8,2,2,2,1,1,1,22,22,1
14301012,1,2,1,1,1,1,52.4444,17,6,4,1,2,1,2,0.5,52.4444,52.4444,1
14309764,0,0,1,0,1,1,3,2,4,1,1,0,1,NA,NA,Inf,3,1
14335754,1,4,4,4,4,4,24.333399999999997,13,8,3,4,4,2,1,1,6.083349999999999,6.083349999999999,1
14359031,1,2,2,2,0,2,35.1112,8,8,2,2,2,0,1,1,17.5556,17.5556,1
14377688,1,1,1,1,1,1,29,NA,3,NA,1,1,1,1,1,29,29,1
14388394,1,1,3,2,2,3,90,6,12,1,3,1,NA,0.5,2,45,30,1
14438936,1,2,2,2,0,2,31,11,9,2,2,2,0,1,1,15.5,15.5,1
14441244,1,2,4,2,2,4,9,NA,13,NA,4,2,NA,1,1,4.5,2.25,1
14513888,0,1,4,1,2,2,12,4,4,1,4,1,NA,1,1,12,3,0.5
14531499,1,7,2,2,2,2,105,17,7,4,2,4,NA,3.5,0.2857142857142857,52.5,52.5,1
14549458,1,1,2,2,0,2,429.7778,12,15,3,2,1,0,0.5,2,214.8889,214.8889,1
14553987,1,1,5,2,2,2,109,17,18,4,4,1,NA,0.5,2,54.5,21.8,0.4
14576726,1,2,2,2,2,2,12,16,2,3,2,2,NA,1,1,6,6,1
14592502,1,2,4,2,1,2,244,13,21,3,4,2,1,1,1,122,61,0.5
14596096,0,2,2,2,2,2,0.8888,6,2,1,2,2,NA,1,1,0.4444,0.4444,1
14617094,1,2,2,2,0,2,104,10,14,2,2,2,0,1,1,52,52,1
14620423,1,1,4,1,2,2,5,NA,1,NA,4,1,NA,1,1,5,1.25,0.5
14633263,0,1,3,2,2,2,12.444400000000002,4,8,1,3,1,NA,0.5,2,6.222200000000001,4.148133333333334,0.6666666666666666
14667183,1,5,2,2,2,2,69,10,15,2,2,4,NA,2.5,0.4,34.5,34.5,1
14693520,0,1,3,1,1,2,179.66659999999996,8,31,2,3,1,1,1,1,179.66659999999996,59.88886666666665,0.6666666666666666
14697313,1,2,2,2,2,2,468.1111,18,8,4,2,2,NA,1,1,234.05555,234.05555,1
14701087,1,1,1,1,1,1,608,8,3,2,1,1,1,1,1,608,608,1
14713428,0,1,2,2,1,2,38,17,10,4,2,1,1,0.5,2,19,19,1
14726530,1,1,1,1,0,1,11,4,6,1,1,1,0,1,1,11,11,1
14745483,0,1,1,1,1,1,44,12,8,3,1,1,1,1,1,44,44,1
14748251,1,3,4,2,2,2,793,14,19,3,4,3,NA,1.5,0.6666666666666666,396.5,198.25,0.5
14783627,1,1,1,1,0,1,16,6,5,1,1,1,0,1,1,16,16,1
14809273,1,1,1,1,0,1,28,4,3,1,1,1,0,1,1,28,28,1
14821529,0,1,1,1,1,1,42,1,6,1,1,1,1,1,1,42,42,1
14827996,1,1,1,1,0,1,6,6,4,1,1,1,0,1,1,6,6,1
14840481,1,4,4,2,2,2,27.777600000000007,13,18,3,4,4,NA,2,0.5,13.888800000000003,6.944400000000002,0.5
14886658,1,1,2,2,0,2,81,8,14,2,2,1,0,0.5,2,40.5,40.5,1
14904020,1,2,3,2,2,2,85,9,10,2,3,2,NA,1,1,42.5,28.333333333333332,0.6666666666666666
14912119,1,1,2,1,2,2,48,11,4,2,2,1,NA,1,1,48,24,1
14917534,1,4,2,2,2,2,151,18,15,4,2,4,NA,2,0.5,75.5,75.5,1
14921063,0,2,2,2,2,2,126,12,12,3,2,2,NA,1,1,63,63,1
14924215,1,2,3,2,1,2,20,18,2,4,3,2,1,1,1,10,6.666666666666667,0.6666666666666666
14955219,1,4,2,2,2,2,47,11,8,2,2,4,NA,2,0.5,23.5,23.5,1
14999802,1,3,2,2,1,2,18,18,6,4,2,3,1,1.5,0.6666666666666666,9,9,1
15014711,1,1,1,1,0,1,2,3,2,1,1,1,0,1,1,2,2,1
15030908,0,2,4,2,1,2,33.2222,5,13,1,4,2,1,1,1,16.6111,8.30555,0.5
15048583,1,2,2,2,2,2,56,15,6,3,2,2,NA,1,1,28,28,1
15050139,1,1,2,2,1,2,36,15,2,3,2,1,1,0.5,2,18,18,1
15117407,1,3,3,3,3,3,134,17,7,4,3,3,2,1,1,44.666666666666664,44.666666666666664,1
15149248,0,2,4,2,2,1,187.1111,2,15,1,4,2,NA,1,1,93.55555,46.777775,0.25
15150525,1,2,3,2,2,3,7,11,6,2,3,2,NA,1,1,3.5,2.3333333333333335,1
15215433,1,3,2,2,0,2,40,6,12,1,2,3,0,1.5,0.6666666666666666,20,20,1
15220464,0,1,2,1,1,1,8.2222,4,7,1,2,1,1,1,1,8.2222,4.1111,0.5
15255840,1,1,2,2,0,2,52,17,6,4,2,1,0,0.5,2,26,26,1
15283076,1,3,2,2,2,2,101,17,10,4,2,3,NA,1.5,0.6666666666666666,50.5,50.5,1
15332415,0,1,3,1,1,1,52.5,6,14,1,3,1,1,1,1,52.5,17.5,0.3333333333333333
15336646,1,1,2,1,0,2,11.2222,4,5,1,2,1,0,1,1,11.2222,5.6111,1
15346814,1,0,2,1,1,2,24,10,4,2,2,0,1,0,Inf,24,12,1
15353876,1,2,2,2,0,2,96.44439999999997,2,11,1,2,2,0,1,1,48.22219999999999,48.22219999999999,1
15364117,1,1,1,1,1,1,138,18,4,4,1,1,1,1,1,138,138,1
15428989,1,3,2,2,2,2,64,17,4,4,2,3,NA,1.5,0.6666666666666666,32,32,1
15456544,1,3,5,2,1,2,127.66659999999996,18,23,4,4,3,1,1.5,0.6666666666666666,63.83329999999998,25.533319999999993,0.4
15472030,1,2,3,1,1,1,56,18,8,4,3,2,1,2,0.5,56,18.666666666666668,0.3333333333333333
15472786,1,3,4,2,2,2,126,11,21,2,4,3,NA,1.5,0.6666666666666666,63,31.5,0.5
15491358,1,1,2,2,0,2,12,NA,4,NA,2,1,0,0.5,2,6,6,1
15532765,1,2,4,2,2,2,157.5,7,22,2,4,2,NA,1,1,78.75,39.375,0.5
15596824,1,2,2,2,0,2,24,1,7,1,2,2,0,1,1,12,12,1
15599834,1,0,1,0,0,1,26,5,3,1,1,0,0,NA,NA,Inf,26,1
15606684,1,1,5,1,1,2,16.667199999999998,8,17,2,4,1,1,1,1,16.667199999999998,3.3334399999999995,0.4
15618986,0,1,1,1,1,1,28.5,12,8,3,1,1,1,1,1,28.5,28.5,1
